model	mode	repo	challenge_id	outcome	tamper_class	max_turns	turns_used	input_tokens	output_tokens	elapsed_seconds
claude-sonnet-5	leaf	ArkLib	3eaf7490820eb45f	pass		50	43	2715022	8495	178.3
claude-sonnet-5	leaf	ArkLib	c8f7852f85b1c244	pass		50	43	2894718	7834	187.0
claude-sonnet-5	leaf	Clear	6435e1d0534addbb	fail		50	50	2361540	112433	1032.9
claude-sonnet-5	leaf	Clear	801815299db16764	fail		50	48	4032868	124894	1210.5
claude-sonnet-5	leaf	CompPoly	0942fe2ed2dead21	turn_limit		50	50	0	0	198.8
claude-sonnet-5	leaf	CompPoly	b6c0958faa9b4e50	turn_limit		50	50	0	0	176.2
claude-sonnet-5	leaf	CvxLean	7e72fb53bb7b2c85	pass		50	42	1322184	5029	138.7
claude-sonnet-5	leaf	CvxLean	ab451f34742004c1	turn_limit		50	50	0	0	261.1
claude-sonnet-5	leaf	FLoPS	8119349c53d69fdf	tampered	declaration_removed	50	44	2148308	7079	207.4
claude-sonnet-5	leaf	FLoPS	e1636d84d45168d3	tampered	declaration_removed	50	45	3930870	4040	149.2
claude-sonnet-5	leaf	FVIntmax	90336b1db31181a3	fail		50	50	824010	37822	422.8
claude-sonnet-5	leaf	FVIntmax	a6980f1a1d6f7fd4	error		50	0	0	0	301.7
claude-sonnet-5	leaf	Foundation	03368880f2abd6e9	tampered	declaration_removed	50	44	2470205	19696	250.8
claude-sonnet-5	leaf	Foundation	ed7f94e1f237638c	error		50	0	0	0	541.6
claude-sonnet-5	leaf	LNSym	4a823a81a8028fc9	pass		50	2	15041	3435	33.2
claude-sonnet-5	leaf	LNSym	6011b971e91f0d3a	malformed		50	0	0	0	0.9
claude-sonnet-5	leaf	Lentil	17de49f70e7d5d1e	pass		50	45	2355003	24574	302.3
claude-sonnet-5	leaf	Lentil	540a0ff7d3ae7a19	pass		50	50	1726625	33419	365.5
claude-sonnet-5	leaf	LeroyCompilerVerificationCourse	7d115958af5c1d1e	fail		50	49	2021602	86424	793.8
claude-sonnet-5	leaf	LeroyCompilerVerificationCourse	d8f33a913429b46e	fail		50	47	2380247	52431	546.9
claude-sonnet-5	leaf	SampCert	26c4eaeee8c6ce58	turn_limit		50	50	0	0	480.1
claude-sonnet-5	leaf	SampCert	68918926206d7fc4	fail		50	49	2745036	124810	983.8
claude-sonnet-5	leaf	SizzLean	5cd1ea3baef5200a	pass		50	3	36382	7139	55.9
claude-sonnet-5	leaf	SizzLean	83f97f349caa71e9	pass		50	44	1655546	14968	177.5
claude-sonnet-5	leaf	TTBFL	28a3d1dccdb83b0a	turn_limit		50	50	0	0	428.6
claude-sonnet-5	leaf	TTBFL	6f689fa4d6606e04	tampered	declaration_removed	50	46	2472880	14979	249.5
claude-sonnet-5	leaf	TensorLib	11e0ea962fc2c31d	tampered	declaration_removed	50	48	946519	49263	434.7
claude-sonnet-5	leaf	TensorLib	502c8803cf78d1a4	fail		50	6	73756	448	16.1
claude-sonnet-5	leaf	TorchLean	8dd8cec9f03d72a7	pass		50	42	1571971	18194	223.7
claude-sonnet-5	leaf	TorchLean	bb506cf047659a6e	pass		50	2	30586	8674	71.8
claude-sonnet-5	leaf	VCV-io	9f31dffd2bc2975a	gave_up		50	35	1603332	3323	116.3
claude-sonnet-5	leaf	VCV-io	c14999a9673608e5	turn_limit		50	50	0	0	480.1
claude-sonnet-5	leaf	adler-proofs	b464691a882d0e3c	turn_limit		50	50	0	0	555.9
claude-sonnet-5	leaf	adler-proofs	bb165801ff15e632	pass		50	23	841672	36497	330.7
claude-sonnet-5	leaf	aeneas	65c6eaf0933ac3bc	pass		50	47	2221566	79935	676.4
claude-sonnet-5	leaf	aeneas	c59817dd14d2eb89	turn_limit		50	50	0	0	392.6
claude-sonnet-5	leaf	apc-optimizer	19fe8265c1e6f2c2	error		50	0	0	0	796.2
claude-sonnet-5	leaf	apc-optimizer	bc557726c0c45489	error		50	0	0	0	829.6
claude-sonnet-5	leaf	btc-verified	813d77ef0033bd15	pass		50	45	1705830	38891	402.3
claude-sonnet-5	leaf	btc-verified	929a50d0b6a01c2e	turn_limit		50	50	0	0	530.5
claude-sonnet-5	leaf	capless-lean	1f7dcc7181ec615c	turn_limit		50	50	0	0	248.3
claude-sonnet-5	leaf	capless-lean	abe14cc5c66753fb	fail		50	50	3132882	12412	219.8
claude-sonnet-5	leaf	cedar-spec	4ca75d6e5031c6d9	pass		50	43	2614366	8611	184.6
claude-sonnet-5	leaf	cedar-spec	bd1dec8fef9ca817	tampered	declaration_removed	50	49	2743643	17406	260.8
claude-sonnet-5	leaf	clean	2c92b4267395fb49	error		50	0	0	0	326.6
claude-sonnet-5	leaf	clean	7331a8bd16838470	pass		50	50	3154020	62741	620.4
claude-sonnet-5	leaf	cslib	03f9877b6b7c5816	tampered	declaration_removed	50	42	2238120	9870	182.2
claude-sonnet-5	leaf	cslib	a4ce553d6553ca3a	tampered	declaration_removed	50	9	205690	3387	57.6
claude-sonnet-5	leaf	curve25519-dalek-lean-verify	2092154f552b6444	pass		50	25	953832	13649	253.3
claude-sonnet-5	leaf	curve25519-dalek-lean-verify	b62bdabff93ea603	gave_up		50	7	100264	472	41.8
claude-sonnet-5	leaf	dolev-yao	92d5feb5271286db	tampered	declaration_removed	50	5	25582	1290	27.5
claude-sonnet-5	leaf	evm-asm	7b7626fc3b093a25	tampered	declaration_removed	50	4	88149	7647	69.2
claude-sonnet-5	leaf	evm-asm	cbadd5a663aa3f7a	turn_limit		50	50	0	0	389.6
claude-sonnet-5	leaf	formal-snarks-project	54b29208d59e384a	pass		50	46	5880708	62390	678.0
claude-sonnet-5	leaf	formal-snarks-project	a52a412058f32352	tampered	declaration_removed	50	3	36783	3266	37.9
