model	budget	mode	total	scorable	pass	micro_rate	macro_rate	macro_ci_lo	macro_ci_hi	tampered	turn_limit	turn_limit_frac
claude-sonnet-5	15	easy	113	103	27	0.2621359223300971	0.2641509433962264	0.2169811320754717	0.32075471698113206	24	38	0.36893203883495146
claude-sonnet-5	15	hard	113	103	25	0.24271844660194175	0.24528301886792453	0.19811320754716982	0.29245283018867924	18	38	0.36893203883495146
openai:gpt-5.6-sol	15	easy	113	103	46	0.44660194174757284	0.44339622641509435	0.39622641509433965	0.49056603773584906	56	1	0.009708737864077669
openai:gpt-5.6-sol	15	hard	113	103	47	0.4563106796116505	0.4528301886792453	0.4056603773584906	0.5	51	5	0.04854368932038835
claude-sonnet-5	30	easy	113	103	33	0.32038834951456313	0.32075471698113206	0.2641509433962264	0.37735849056603776	30	21	0.20388349514563106
claude-sonnet-5	30	hard	113	103	28	0.27184466019417475	0.27358490566037735	0.2169811320754717	0.330188679245283	20	33	0.32038834951456313
openai:gpt-5.6-sol	30	easy	113	103	54	0.5242718446601942	0.5188679245283019	0.46226415094339623	0.5754716981132075	49	0	0.0
openai:gpt-5.6-sol	30	hard	113	103	48	0.46601941747572817	0.46226415094339623	0.41509433962264153	0.5094339622641509	54	0	0.0
claude-sonnet-5	100	easy	113	103	37	0.3592233009708738	0.3584905660377358	0.3018867924528302	0.41509433962264153	30	8	0.07766990291262135
claude-sonnet-5	100	hard	113	103	29	0.2815533980582524	0.2830188679245283	0.2358490566037736	0.330188679245283	26	18	0.17475728155339806
openai:gpt-5.6-sol	100	easy	113	103	55	0.5339805825242718	0.5283018867924528	0.4716981132075472	0.5849056603773585	48	0	0.0
openai:gpt-5.6-sol	100	hard	113	103	50	0.4854368932038835	0.4811320754716981	0.42452830188679247	0.5377358490566038	51	0	0.0
claude-sonnet-5	50	easy	113	103	30	0.2912621359223301	0.29245283018867924	0.2358490566037736	0.3490566037735849	27	18	0.17475728155339806
claude-sonnet-5	50	hard	113	103	30	0.2912621359223301	0.2830188679245283	0.22641509433962265	0.33962264150943394	26	25	0.24271844660194175
openai:gpt-5.6-sol	50	easy	113	103	51	0.49514563106796117	0.49056603773584906	0.4339622641509434	0.5471698113207547	50	0	0.0
openai:gpt-5.6-sol	50	hard	113	103	49	0.47572815533980584	0.4716981132075472	0.42452830188679247	0.5188679245283019	53	0	0.0
