name	spdx	license_url	notes
ArkLib	Apache-2.0	https://github.com/Verified-zkEVM/ArkLib/blob/5a83bfb4383503d70d7b5a05355d396855b3151b/LICENSE	Apache License 2.0
Clear	LicenseRef-Nethermind-NonCommercial	https://github.com/NethermindEth/Clear/blob/6ef2e7eda01080e5d5fd7474354c1a71adab5071/LICENSE.MD	Nethermind custom license (non-SPDX, found at LICENSE.MD): grants copy/modify/distribute rights solely for Non-Commercial Use (research, personal study, education, nonprofit); commercial use, resale, and third-party verification-as-a-service are explicitly prohibited (clauses 3, 3.1, 3.2). -- FLAG: non-standard and non-commercial-only; likely needs a documented non-commercial-use caveat on the dataset card, a separate non-commercial-only export, or dropping from the mixed corpus -- needs an explicit human decision.
CompPoly	Apache-2.0	https://github.com/Verified-zkEVM/CompPoly/blob/e95ba1b1cac21ac3e980725abcfb2a0c707d1062/LICENSE	Apache License 2.0
CvxLean	Apache-2.0	https://github.com/verified-optimization/CvxLean/blob/c62c2f292c6420f31a12e738ebebdfed50f6f840/LICENSE	Apache License 2.0
FLoPS	MIT	https://github.com/rutgers-apl/FLoPS/blob/95081ac643663da507115abe23ebd5701433587f/LICENSE	MIT License
FVIntmax	Apache-2.0	https://github.com/NethermindEth/FVIntmax/blob/d7c4cbc5ec449471952ac5468f3b55bf61f5868e/LICENSE	Apache License 2.0
Foundation	Apache-2.0	https://github.com/FormalizedFormalLogic/Foundation/blob/87d4dd68835a6c1eb8448b9c392d9ca51fe08d63/LICENSE	Apache License 2.0
LNSym	Apache-2.0	https://github.com/leanprover/LNSym/blob/5c05220ff970e3bdd7813ad0c9ef3741522c8b92/LICENSE	Apache License 2.0
Lentil	Apache-2.0	https://github.com/verse-lab/Lentil/blob/bc3bc567928c4a4d0158496b7c18412f10b3304f/LICENSE	Apache License 2.0
LeroyCompilerVerificationCourse	LGPL-2.1	https://github.com/leanprover/LeroyCompilerVerificationCourse/blob/a2730e7f9228b9d7ecf4510f1f8652f2cae7ba01/LICENSE.md	GNU Lesser General Public License v2.1
SampCert	Apache-2.0	https://github.com/leanprover/SampCert/blob/6e2392c165652063fefc628d8f047b77ca393b0f/LICENSE	Apache License 2.0
SizzLean	LGPL-3.0	https://github.com/etheorem/etheorem/blob/032ab6c6d67186ba60b734e0f2c44ba1bb8b6fb0/LICENSE	GNU Lesser General Public License v3.0
TTBFL	Zlib	https://github.com/ionathanch/TTBFL/blob/274b8d0410b7c1671f15f140e75634065bb06bf9/LICENCE	zlib License
TensorLib	Apache-2.0	https://github.com/leanprover/TensorLib/blob/5eedd07b028057a317ae2fffbe48d6781bb34aff/LICENSE	Apache License 2.0
TorchLean	MIT	https://github.com/lean-dojo/TorchLean/blob/a0c5bdf2bb02c25b270a2c89a12ad2335c86c530/LICENSE	MIT License
VCV-io	Apache-2.0	https://github.com/Verified-zkEVM/VCV-io/blob/24fe01dbaf899b7bb2b19453ae2ada61b49b4255/LICENSE	Apache License 2.0
aeneas	Apache-2.0	https://github.com/AeneasVerif/aeneas/blob/483333f74278333101795c4e55dbf09e50763f37/LICENSE.md	Apache License 2.0
btc-verified	Apache-2.0	https://github.com/ProofOfKeags/btc-verified/blob/251ae35b2caf564608f0c6bc35933d7837bfe0c4/LICENSE	Apache License 2.0
capless-lean	MIT	https://github.com/Linyxus/capless-lean/blob/9beeba12d520c447791349f079256254fc413f1b/LICENSE	MIT License
cedar-spec	Apache-2.0	https://github.com/cedar-policy/cedar-spec/blob/795ddccff61c83aeb5d6a7ccd22abf5e00164c73/LICENSE	Apache License 2.0
clean	MIT	https://github.com/Verified-zkEVM/clean/blob/1e563b9c27991b3795eb440c1ee0757edb4ce8b1/LICENSE	MIT License
cslib	Apache-2.0	https://github.com/leanprover/cslib/blob/c0120dddfe75d4ab913691c0c184fc436927b19d/LICENSE	Apache License 2.0
curve25519-dalek-lean-verify	Apache-2.0	https://github.com/Beneficial-AI-Foundation/curve25519-dalek-lean-verify/blob/b9fae801a9e47ac522ea6455a28b78e1d1e1fda5/LICENSE	Apache License 2.0
dolev-yao	MIT	https://github.com/metareflection/dolev-yao/blob/cc9d1a6dd800c1debc0a8cc9b7d2e331b84bd30c/LICENSE	MIT License
evm-asm	MIT	https://github.com/Verified-zkEVM/evm-asm/blob/7d5875858bc3727250adb6880c8339048365b1b6/LICENSE	MIT License
formal-snarks-project	MIT	https://github.com/BoltonBailey/formal-snarks-project/blob/67ccc51f80693fce005979a333972b358dfbe83d/LICENSE	MIT License
hax-proof-libs-lean	Apache-2.0	https://github.com/cryspen/hax/blob/dbd2026cc871063a455da37f88ade8f4167271bc/LICENSE	Apache License 2.0
hex-dev	Apache-2.0	https://github.com/kim-em/hex-dev/blob/8c974172dea442251aead59be634e19753c37b2f/LICENSE	Apache License 2.0
iris-lean	Apache-2.0	https://github.com/leanprover-community/iris-lean/blob/5a790aed0dcad30219aa218c88a7fd306c092fae/LICENSE	Apache License 2.0
jolt-tla	Apache-2.0	https://github.com/CharlesHoskinson/jolt-tla/blob/3918257edd8333d79e21d813a2fa70761aba538f/LICENSE	Apache License 2.0
juvix-lean	MIT	https://github.com/anoma/juvix-lean/blob/f202e04219a84ce8f56b2c3fffa3409237c5daea/LICENSE	MIT License
lampe	Apache-2.0	https://github.com/reilabs/lampe/blob/919a38712d22d05fc83e59af17ef57077abda1e0/LICENSE	Apache License 2.0
lean-formal-reasoning-program	MIT	https://github.com/andaraiwin/lean-formal-reasoning-program/blob/4a12da01571e50e52075d52808f76e029be0e7c9/LICENSE	MIT License
lean-mlir	Apache-2.0	https://github.com/opencompl/lean-mlir/blob/96baaa07cb7466e2057539f6b5d65d648803421f/LICENSE	Apache License 2.0
lean-yjs	MIT	https://github.com/iasakura/lean-yjs/blob/ac087458509b7363b89da76d157f13d02761fd6a/LICENSE	MIT License
lean-zip	Apache-2.0	https://github.com/kim-em/lean-zip/blob/9e62f214671be676cc580110c9b8ca74eac21b3d/LICENSE	Apache License 2.0
lean4lean	Apache-2.0	https://github.com/digama0/lean4lean/blob/8865b155abbf68d3a827fb3568bf6839780163c2/LICENSE	Apache License 2.0
loom	Apache-2.0	https://github.com/verse-lab/loom/blob/78928abc9054b31d0bea85985496490baae95244/LICENSE	Apache License 2.0
nickelean	MIT	https://github.com/lexicone42/nickelean/blob/9938f56b642143ad18af83b8851a7a1b04f50a91/LICENSE	MIT License
proven-zk	Apache-2.0	https://github.com/reilabs/proven-zk/blob/fd156e1a0a0771271b7871972f428b0c93b5b56e/LICENSE	Apache License 2.0
ryu-lean4	MIT	https://github.com/lexicone42/ryu-lean4/blob/5dd60fd7a0f08822a6efa0f97e585ce8efa270d4/LICENSE	MIT License
shortest-decimal	MIT	https://github.com/lexicone42/shortest-decimal/blob/4d5ea2d583f5fae86413317b4b01ebc4c4c91e4b/LICENSE	MIT License
sparkle	Apache-2.0	https://github.com/Verilean/sparkle/blob/73bbc74ac3244ea44b7846c212dbfd42786eff27/LICENSE	Apache License 2.0
splean	Apache-2.0	https://github.com/verse-lab/splean/blob/e24286f51bd9ee207197d47ec587d592cdfb0ddc/LICENSE	Apache License 2.0
