name	language	url	revision	path	toolchain
ArkLib	lean	https://github.com/Verified-zkEVM/ArkLib	5a83bfb4383503d70d7b5a05355d396855b3151b	data/lean/ArkLib	leanprover/lean4:v4.30.0
Clear	lean	https://github.com/NethermindEth/Clear	6ef2e7eda01080e5d5fd7474354c1a71adab5071	data/lean/Clear	leanprover/lean4:v4.9.1
CompPoly	lean	https://github.com/Verified-zkEVM/CompPoly	e95ba1b1cac21ac3e980725abcfb2a0c707d1062	data/lean/CompPoly	leanprover/lean4:v4.31.0
CvxLean	lean	https://github.com/verified-optimization/CvxLean	c62c2f292c6420f31a12e738ebebdfed50f6f840	data/lean/CvxLean	leanprover/lean4:v4.8.0-rc1
FLoPS	lean	https://github.com/rutgers-apl/FLoPS	95081ac643663da507115abe23ebd5701433587f	data/lean/FLoPS	leanprover/lean4:v4.28.0
FVIntmax	lean	https://github.com/NethermindEth/FVIntmax	d7c4cbc5ec449471952ac5468f3b55bf61f5868e	data/lean/FVIntmax	leanprover/lean4:v4.14.0-rc2
Foundation	lean	https://github.com/FormalizedFormalLogic/Foundation	87d4dd68835a6c1eb8448b9c392d9ca51fe08d63	data/lean/Foundation	leanprover/lean4:v4.31.0
LNSym	lean	https://github.com/leanprover/LNSym	5c05220ff970e3bdd7813ad0c9ef3741522c8b92	data/lean/LNSym	leanprover/lean4:nightly-2024-10-07
Lentil	lean	https://github.com/verse-lab/Lentil	bc3bc567928c4a4d0158496b7c18412f10b3304f	data/lean/Lentil	leanprover/lean4:v4.31.0
LeroyCompilerVerificationCourse	lean	https://github.com/leanprover/LeroyCompilerVerificationCourse	a2730e7f9228b9d7ecf4510f1f8652f2cae7ba01	data/lean/LeroyCompilerVerificationCourse	leanprover/lean4:v4.23.0-rc2
SampCert	lean	https://github.com/leanprover/SampCert	6e2392c165652063fefc628d8f047b77ca393b0f	data/lean/SampCert	leanprover/lean4:v4.29.0
SizzLean	lean	https://github.com/etheorem/etheorem	032ab6c6d67186ba60b734e0f2c44ba1bb8b6fb0	data/lean/etheorem	leanprover/lean4:v4.29.1
TTBFL	lean	https://github.com/ionathanch/TTBFL	274b8d0410b7c1671f15f140e75634065bb06bf9	data/lean/TTBFL	leanprover/lean4:v4.29.0
TensorLib	lean	https://github.com/leanprover/TensorLib	5eedd07b028057a317ae2fffbe48d6781bb34aff	data/lean/TensorLib	leanprover/lean4:v4.23.0
TorchLean	lean	https://github.com/lean-dojo/TorchLean	a0c5bdf2bb02c25b270a2c89a12ad2335c86c530	data/lean/TorchLean	leanprover/lean4:v4.31.0
VCV-io	lean	https://github.com/Verified-zkEVM/VCV-io	24fe01dbaf899b7bb2b19453ae2ada61b49b4255	data/lean/VCV-io	leanprover/lean4:v4.30.0
aeneas	lean	https://github.com/AeneasVerif/aeneas	483333f74278333101795c4e55dbf09e50763f37	data/lean/aeneas/backends/lean	leanprover/lean4:v4.31.0
btc-verified	lean	https://github.com/ProofOfKeags/btc-verified	251ae35b2caf564608f0c6bc35933d7837bfe0c4	data/lean/btc-verified	leanprover/lean4:v4.30.0-rc2
capless-lean	lean	https://github.com/Linyxus/capless-lean	9beeba12d520c447791349f079256254fc413f1b	data/lean/capless-lean	leanprover/lean4:v4.21.0-rc3
cedar-spec	lean	https://github.com/cedar-policy/cedar-spec.git	795ddccff61c83aeb5d6a7ccd22abf5e00164c73	data/lean/cedar-spec	leanprover/lean4:v4.31.0
clean	lean	https://github.com/Verified-zkEVM/clean	1e563b9c27991b3795eb440c1ee0757edb4ce8b1	data/lean/clean	leanprover/lean4:v4.30.0
cslib	lean	https://github.com/leanprover/cslib	c0120dddfe75d4ab913691c0c184fc436927b19d	data/lean/cslib	leanprover/lean4:v4.32.0-rc1
curve25519-dalek-lean-verify	lean	https://github.com/Beneficial-AI-Foundation/curve25519-dalek-lean-verify	b9fae801a9e47ac522ea6455a28b78e1d1e1fda5	data/lean/curve25519-dalek-lean-verify	leanprover/lean4:v4.30.0-rc2
dolev-yao	lean	https://github.com/metareflection/dolev-yao	cc9d1a6dd800c1debc0a8cc9b7d2e331b84bd30c	data/lean/dolev-yao	leanprover/lean4:v4.29.0-rc6
